
"1527110195-412","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YP Majesty 400","2.000 €","72.700 km","395 cc","Barcelona","2007"
"1527110192-379","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA TT R 50 E","1.399 €","10 km","50 cc","Sevilla","2011"
"1527110200-465","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Neo's 50","1.999 €","N/D km","49 cc","Valladolid","2018"
"1527110205-523","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","999 €","70.000 km","249 cc","Barcelona","2007"
"1527110171-165","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","950 €","95.000 km","248 cc","Alicante","1999"
"1527110166-123","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XJ 600 N DIVERSION","1.100 €","53.000 km","598 cc","Zaragoza","2002"
"1527110168-133","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 400","1.800 €","63.000 km","395 cc","Madrid","2007"
"1527110205-530","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 125","1.850 €","23.000 km","124 cc","Sevilla","2007"
"1527110171-185","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 750 Virago","1.500 €","57.000 km","748 cc","Granada","1986"
"1527110184-299","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZ 85","1.900 €","N/D km","85 cc","Alicante","2009"
"1527110200-474","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 250","1.500 €","18.000 km","249 cc","Barcelona","2008"
"1527110176-236","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZ 125","1.799 €","4.500 km","124 cc","Navarra","2004"
"1527110166-109","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 535 DX Virago","1.800 €","22.000 km","535 cc","Madrid","1997"
"1527110190-352","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XJ 650","1.650 €","49.000 km","650 cc","Madrid","1982"
"1527110163-80","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 400","1.750 €","94.000 km","395 cc","Barcelona","2006"
"1527110184-305","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X-CITY 250","1.100 €","50.000 km","249 cc","Madrid","2008"
"1527110176-220","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125","1.100 €","25.000 km","124 cc","Tarragona","2007"
"1527110205-541","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Neo's 50","500 €","16.660 km","49 cc","Valencia","1998"
"1527110181-282","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 250","1.490 €","33.058 km","250 cc","Valencia","2005"
"1527110181-269","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 125","1.350 €","85.000 km","124 cc","Barcelona","2007"
"1527110178-263","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","1.800 €","20.000 km","248 cc","Ávila","1998"
"1527110181-277","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","1.099 €","33.400 km","248 cc","Málaga","2002"
"1527110176-219","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.000 €","96.000 km","249 cc","Barcelona","2006"
"1527110187-319","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XT Z 750 Supertenere","1.600 €","80.000 km","750 cc","Cantabria","1996"
"1527110178-244","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XJ 600 N DIVERSION","1.950 €","39.200 km","598 cc","Pontevedra","2000"
"1527110168-140","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA TZR 50","1.700 €","7.600 km","49 cc","Barcelona","2008"
"1527110171-163","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.700 €","23.621 km","249 cc","Cantabria","2007"
"1527110198-433","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 125","1.800 €","52.000 km","124 cc","Barcelona","2010"
"1527110155-2","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZF R 125","1.700 €","46.000 km","124 cc","Barcelona","2009"
"1527110187-324","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA FZ6 S","2.000 €","80.000 km","600 cc","Barcelona","2004"
"1527110200-489","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X enter 125 Moto GP","1.900 €","23.000 km","125 cc","Barcelona","2013"
"1527110205-525","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 250","1.700 €","25.500 km","249 cc","Sevilla","2008"
"1527110173-194","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZ 85","1.850 €","N/D km","85 cc","Sevilla","2009"
"1527110200-486","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250 Special","1.490 €","55.250 km","249 cc","A Coruña","2006"
"1527110198-461","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 400","1.800 €","55.000 km","395 cc","Barcelona","2004"
"1527110168-143","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XJ 600 S Diversion","1.190 €","78.000 km","600 cc","Madrid","1993"
"1527110155-22","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.690 €","40.000 km","249 cc","Vizcaya","2005"
"1527110158-40","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XJ 600 Diversion","1.250 €","61.200 km","600 cc","Lleida","1995"
"1527110198-436","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XT 600","1.700 €","34.000 km","600 cc","Barcelona","1989"
"1527110200-466","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA FZS 600 Fazer","1.990 €","58.000 km","599 cc","Zaragoza","2002"
"1527110176-215","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 125","1.500 €","43.400 km","124 cc","Madrid","2007"
"1527110181-276","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","1.999 €","18.646 km","248 cc","Madrid","2001"
